Unnamed: 0,GalaxyID,Class1.1,Class1.2,Class1.3,Class2.1,Class2.2,Class6.1,Class6.2,Class7.1,Class7.2,Class7.3,Class8.1,Class8.2,Class8.3,Class8.4,Class8.5,Class8.6,Class8.7
0,100008,0.383147,0.616853,0.0,0.0,0.616853,0.054453,0.945547,0.201462524,0.181684476,0.0,0.0,0.0272265,0.0,0.0272265,0.0,0.0,0.0
1,100023,0.327001,0.663777,0.009222,0.031178269,0.632598731,0.189149,0.810851,0.0,0.135081824,0.191919176,0.0,0.0,0.140353476,0.0,0.048795524,0.0,0.0
2,100053,0.765717,0.177352,0.056931,0.0,0.177352,0.0,1.0,0.0,0.74186415,0.02385285,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,100078,0.693377,0.238564,0.068059,0.0,0.238564,0.320398,0.679602,0.408599439,0.284777561,0.0,0.0,0.0,0.0961194,0.0961194,0.0,0.1281592,0.0
4,100090,0.933839,0.0,0.066161,0.0,0.0,0.029383,0.970617,0.494587282,0.439251718,0.0,0.0,0.0,0.0,0.0,0.0,0.029383,0.0
5,100122,0.738832,0.238159,0.023009,0.0,0.238159,0.19793,0.80207,0.066806667,0.663691308,0.008334764,0.0,0.0,0.0494825,0.098965,0.0494825,0.0,0.0
6,100123,0.462492,0.456033,0.081475,0.0,0.456033,0.687647,0.312353,0.388157511,0.074334489,0.0,0.0,0.0,0.0,0.0,0.213858217,0.473788783,0.0
7,100128,0.687783,0.288344,0.023873,0.0,0.288344,0.473888,0.526112,0.482482526,0.205300474,0.0,0.0,0.067765984,0.033646048,0.0,0.304709984,0.067765984,0.0
8,100134,0.021834,0.976952,0.001214,0.021750859,0.955201141,0.611499,0.388501,0.010917,0.010917,0.0,0.0,0.032377038,0.064143188,0.4502247,0.0,0.032377038,0.032377038
9,100143,0.269843,0.730157,0.0,0.730157,0.0,0.410635,0.589365,0.0,0.0,0.269843,0.0,0.0,0.034116788,0.0,0.136878196,0.239640016,0.0
10,100150,0.429378,0.524901,0.045721,0.0,0.524901,0.037499,0.962501,0.091016543,0.338361457,0.0,0.0,0.0,0.037499,0.0,0.0,0.0,0.0
11,100157,0.330462,0.669145,0.000393,0.0,0.669145,0.129321,0.870679,0.256827796,0.073634204,0.0,0.0,0.0,0.02157501,0.086170979,0.02157501,0.0,0.0
12,100187,0.448521,0.551479,0.0,0.0,0.551479,0.252285,0.747715,0.39001906,0.039151398,0.019350542,0.19627773,0.0,0.0,0.028003635,0.028003635,0.0,0.0
13,100204,0.467625,0.53148,0.000895,0.0,0.53148,0.084531,0.915469,0.0,0.25405926,0.21356574,0.0,0.0,0.037531764,0.0,0.046999236,0.0,0.0
14,100237,0.164391,0.800759,0.03485,0.030794789,0.769964211,0.132726,0.867274,0.0,0.164391,0.0,0.0597267,0.0,0.0,0.0,0.0729993,0.0,0.0
